key	locations	english	my	th	zh	km	lo	fr	de	es
UI_0043	app/page.tsx:89	Sign in to join Big Two matchmaking.								
UI_0044	app/page.tsx:98	Sign in to join Ludo matchmaking.								
UI_0045	app/tournaments/[id]/page.tsx:100	You are registered. Good luck!								
UI_0046	app/tournaments/[id]/page.tsx:109	Loading tournament…								
UI_0047	app/tournaments/[id]/page.tsx:139	Sign in to play tournament games.								
UI_0048	app/tournaments/[id]/page.tsx:140	Join the tournament before playing.								
UI_0049	app/tournaments/[id]/page.tsx:146	No active fixture is assigned for this game yet. Wait for the organizer to create the round.								
UI_0050	app/tournaments/[id]/page.tsx:152	${myRow.score || 0} tournament points								
UI_0051	app/tournaments/[id]/page.tsx:152	${myRow.wins || 0} wins · ${myRow.draws || 0} draws · ${myRow.losses || 0} losses								
UI_0052	app/tournaments/[id]/page.tsx:152	Tournament result								
UI_0053	app/tournaments/[id]/page.tsx:153	Tournament rank shared.								
UI_0054	app/tournaments/[id]/page.tsx:164	← Back to home								
UI_0055	app/tournaments/[id]/page.tsx:189 | components/HomeTab.tsx:377 | components/games/Monopoly.tsx:795	Players								
UI_0056	app/tournaments/[id]/page.tsx:195 | app/tournaments/[id]/page.tsx:246	Prize pool								
UI_0057	app/tournaments/[id]/page.tsx:201	Entry fee								
UI_0058	app/tournaments/[id]/page.tsx:217	Overview								
UI_0059	app/tournaments/[id]/page.tsx:223	Rules								
UI_0060	app/tournaments/[id]/page.tsx:229	Games								
UI_0061	app/tournaments/[id]/page.tsx:235	Leaderboard								
UI_0062	app/tournaments/[id]/page.tsx:240	overview								
UI_0063	app/tournaments/[id]/page.tsx:242	About tournament								
UI_0064	app/tournaments/[id]/page.tsx:244	A dedicated competitive event. Tournament results never affect the normal game lobby.								
UI_0065	app/tournaments/[id]/page.tsx:246	${Number( tournament.prize_pool || 0 ).toLocaleString()} ${prizeCurrency}. Final placements and prizes are published by the tournament organizer.								
UI_0066	app/tournaments/[id]/page.tsx:251	rules								
UI_0067	app/tournaments/[id]/page.tsx:253	General rules								
UI_0068	app/tournaments/[id]/page.tsx:254	Standard game rules apply.								
UI_0069	app/tournaments/[id]/page.tsx:256	Terms & conditions								
UI_0070	app/tournaments/[id]/page.tsx:258	By joining, you agree to follow the tournament rules and fair-play requirements.								
UI_0071	app/tournaments/[id]/page.tsx:262	games								
UI_0072	app/tournaments/[id]/page.tsx:286	leaderboard								
UI_0073	app/tournaments/[id]/page.tsx:288	completed								
UI_0074	app/tournaments/[id]/page.tsx:288	Share my final tournament rank								
UI_0075	app/tournaments/[id]/page.tsx:290	, draw								
UI_0076	app/tournaments/[id]/page.tsx:290	Score: win								
UI_0077	app/tournaments/[id]/page.tsx:291	, loss								
UI_0078	app/tournaments/[id]/page.tsx:292	. Ties use wins, fewer losses, matches played, then registration time.								
UI_0079	app/tournaments/[id]/page.tsx:313 | app/tournaments/[id]/page.tsx:333 | components/games/BigTwoGame.tsx:281 | components/games/BigTwoGame.tsx:282 | components/games/BigTwoGame.tsx:357 | components/games/BigTwoGame.tsx:378 | components/games/CupPong.tsx:2935 | components/games/Monopoly.tsx:1197 | components/games/ShanKoeMeeGame.tsx:102	Player								
UI_0080	app/tournaments/[id]/page.tsx:316 | app/tournaments/[id]/page.tsx:338 | app/tournaments/[id]/page.tsx:356 | components/games/SnookerGame.tsx:1923 | components/games/SnookerGame.tsx:1953	pts								
UI_0081	app/tournaments/[id]/page.tsx:335	D ·								
UI_0082	app/tournaments/[id]/page.tsx:335 | app/tournaments/[id]/page.tsx:353	W ·								
UI_0083	app/tournaments/[id]/page.tsx:344	↕ Your rank								
UI_0084	app/tournaments/[id]/page.tsx:351 | components/ChatTab.tsx:695 | components/games/BlockPuzzleGame.tsx:536 | components/games/BlockPuzzleGame.tsx:555 | components/games/DominoesGame.tsx:841 | components/games/Game2048.tsx:312 | components/games/MiniFighterChallengeCard.tsx:28 | components/games/ShanKoeMeeGame.tsx:143 | components/games/ShanKoeMeeGame.tsx:144 | components/games/TicTacToeGame.tsx:600 | components/games/TicTacToeGame.tsx:955 | components/games/UnoGame.tsx:942	You								
UI_0085	app/tournaments/[id]/page.tsx:378	Join tournament								
UI_0086	app/tournaments/[id]/page.tsx:378	Joining…								
UI_0087	app/tournaments/[id]/page.tsx:378	Registered								
UI_0088	app/tournaments/[id]/page.tsx:38	Tournament not found.								
UI_0089	app/tournaments/[id]/page.tsx:398	Tournament match								
UI_0090	app/tournaments/[id]/page.tsx:400	Opposing player								
UI_0091	app/tournaments/[id]/page.tsx:402 | components/CompetitiveGameLaunch.tsx:141	Arena opponent								
UI_0092	app/tournaments/[id]/page.tsx:402	Tournament opponent								
UI_0093	app/tournaments/[id]/page.tsx:403 | components/CompetitiveGameLaunch.tsx:141	Enter Match&nbsp; →								
UI_0094	app/tournaments/[id]/page.tsx:404 | components/ChatTab.tsx:800 | components/GamesTab.tsx:252 | components/games/DominoesGame.tsx:1817 | components/games/SudokuGame.tsx:1078	Cancel								
UI_0095	app/tournaments/[id]/page.tsx:89	Sign in to join this tournament.								
UI_0096	components/AuthView.tsx:145	Cancel sign in								
UI_0097	components/AuthView.tsx:155	dialpad								
UI_0098	components/AuthView.tsx:155	shield_lock								
UI_0099	components/AuthView.tsx:155 | components/AuthView.tsx:160 | components/AuthView.tsx:163 | components/AuthView.tsx:175 | components/AuthView.tsx:197	verify								
UI_0100	components/AuthView.tsx:158	Joe Yoke account								
UI_0101	components/AuthView.tsx:160	Check your inbox								
UI_0102	components/AuthView.tsx:160	Play with your account								
UI_0103	components/AuthView.tsx:164	Enter the 6-digit code sent to ${email}.								
UI_0104	components/AuthView.tsx:165	Sign in once to keep your progress, rewards, and game history in sync.								
UI_0105	components/AuthView.tsx:178	Access code								
UI_0106	components/AuthView.tsx:18	Continue with Google								
UI_0107	components/AuthView.tsx:186	6-digit code								
UI_0108	components/AuthView.tsx:19	Continue with Apple								
UI_0109	components/AuthView.tsx:197	Verify & continue								
UI_0110	components/AuthView.tsx:197	Verifying…								
UI_0111	components/AuthView.tsx:20	Continue with Telegram								
UI_0112	components/AuthView.tsx:200	Use a different email								
UI_0113	components/AuthView.tsx:209 | components/AuthView.tsx:279	Not now								
UI_0114	components/AuthView.tsx:217 | components/ProfileTab.tsx:1003	Email address								
UI_0115	components/AuthView.tsx:222	you@example.com								
UI_0116	components/AuthView.tsx:230	(optional)								
UI_0117	components/AuthView.tsx:230	Referral code								
UI_0118	components/AuthView.tsx:231	Friend's referral code								
UI_0119	components/AuthView.tsx:238	Continue with email								
UI_0120	components/AuthView.tsx:238	email								
UI_0121	components/AuthView.tsx:238	Sending code…								
UI_0122	components/AuthView.tsx:244	or								
UI_0123	components/AuthView.tsx:263	Connecting…								
UI_0124	components/AuthView.tsx:270	New here? Your account is created automatically the first time you continue.								
UI_0125	components/CampaignSplash.tsx:104 | components/ShopTab.tsx:272 | components/ShopTab.tsx:323 | components/SpinTab.tsx:148 | components/games/Carrom.tsx:1458 | components/games/Checkers.tsx:900 | components/games/ChessGame.tsx:927 | components/games/NexusBreach.tsx:195 | components/games/PoolGame.tsx:1724 | components/games/SnookerGame.tsx:1759 | components/games/TicTacToeGame.tsx:779	auto_awesome								
UI_0126	components/CampaignSplash.tsx:118 | components/SpinTab.tsx:148 | components/games/Monopoly.tsx:711	Continue								
UI_0127	components/CampaignSplash.tsx:71	Loading Joe Yoke								
UI_0128	components/CampaignSplash.tsx:77 | components/games/PingPong.tsx:1562 | lib/socialShare.ts:95	JOE YOKE								
UI_0129	components/CampaignSplash.tsx:78	Loading arena								
UI_0130	components/CampaignSplash.tsx:97 | components/games/Monopoly.tsx:698	Skip								
UI_0131	components/CampaignSplash.tsx:97	Skip ${remaining}s								
UI_0132	components/ChatTab.tsx:1001	Four-player tables								
UI_0133	components/ChatTab.tsx:1004	Invite up to 3 friends								
UI_0134	components/ChatTab.tsx:1011	four_player								
UI_0135	components/ChatTab.tsx:1013	All accepted invites join one shared table.								
UI_0136	components/ChatTab.tsx:1013	Invite 3 players								
UI_0137	components/ChatTab.tsx:1014	add_circle								
UI_0138	components/ChatTab.tsx:1014 | components/DailyLoginCard.tsx:164 | components/games/Carrom.tsx:1631 | components/games/MiniFighter.tsx:65	check_circle								
UI_0139	components/ChatTab.tsx:1015	Add friends before creating a four-player table.								
UI_0140	components/ChatTab.tsx:1016	Send table invitations								
UI_0141	components/ChatTab.tsx:1020	carrom_mode								
UI_0142	components/ChatTab.tsx:1025	Rule Mode								
UI_0143	components/ChatTab.tsx:1029	Freestyle Mode (Fast)								
UI_0144	components/ChatTab.tsx:1033	Classic Mode (Tactical)								
UI_0145	components/ChatTab.tsx:1054	User								
UI_0146	components/ChatTab.tsx:1060	Comms online								
UI_0147	components/ChatTab.tsx:1060 | components/GameEngagementMenu.tsx:39 | components/games/Carrom.tsx:1414 | components/games/Checkers.tsx:856 | components/games/ChessGame.tsx:881 | components/games/PoolGame.tsx:1678 | components/games/SnookerGame.tsx:1712 | components/games/TicTacToeGame.tsx:734	Offline								
UI_0148	components/ChatTab.tsx:1073	Loading conversation…								
UI_0149	components/ChatTab.tsx:1076 | components/GamesTab.tsx:20 | components/games/UnoGame.tsx:178 | components/games/UnoGame.tsx:194 | components/games/UnoGame.tsx:393	Uno								
UI_0150	components/ChatTab.tsx:1077 | components/games/TicTacToeGame.tsx:692	Tic-Tac-Toe								
UI_0151	components/ChatTab.tsx:1078 | components/GamesTab.tsx:21 | components/games/Carrom.tsx:315 | components/games/Carrom.tsx:352 | components/games/Carrom.tsx:1141	Carrom								
UI_0152	components/ChatTab.tsx:1079 | components/GamesTab.tsx:22 | components/games/ChessGame.tsx:324 | components/games/ChessGame.tsx:367 | components/games/ChessGame.tsx:687	Chess								
UI_0153	components/ChatTab.tsx:1080 | components/GamesTab.tsx:24 | components/games/SnookerGame.tsx:221 | components/games/SnookerGame.tsx:264 | components/games/SnookerGame.tsx:1542	Snooker								
UI_0154	components/ChatTab.tsx:1081 | components/games/PoolGame.tsx:456	Pool								
UI_0155	components/ChatTab.tsx:1082 | components/GamesTab.tsx:40	Monopoly								
UI_0156	components/ChatTab.tsx:1083 | components/GamesTab.tsx:37	Big Two								
UI_0157	components/ChatTab.tsx:1084 | components/GamesTab.tsx:34 | components/games/LudoGame.tsx:573	Ludo								
UI_0158	components/ChatTab.tsx:1085 | components/GamesTab.tsx:38	Shan Koe Mee								
UI_0159	components/ChatTab.tsx:1115 | components/GamesTab.tsx:23 | components/games/Checkers.tsx:188 | components/games/Checkers.tsx:225 | components/games/Checkers.tsx:704	Checkers								
UI_0160	components/ChatTab.tsx:1139	Open attachment								
UI_0161	components/ChatTab.tsx:1163	Match Challenge								
UI_0162	components/ChatTab.tsx:1169	Awaiting...								
UI_0163	components/ChatTab.tsx:1213	declined								
UI_0164	components/ChatTab.tsx:1213	Declined								
UI_0165	components/ChatTab.tsx:1214	accepted								
UI_0166	components/ChatTab.tsx:1226	Enter Arena								
UI_0167	components/ChatTab.tsx:1249 | components/games/MiniFighterChallengeCard.tsx:23 | components/games/NeuralDuel.tsx:116 | components/games/NeuralDuel.tsx:220	swords								
UI_0168	components/ChatTab.tsx:1261	Attach file								
UI_0169	components/ChatTab.tsx:1261	attach_file								
UI_0170	components/ChatTab.tsx:1271	Message...								
UI_0171	components/ChatTab.tsx:1283	arrow_upward								
UI_0172	components/ChatTab.tsx:180	Every successful invite								
UI_0173	components/ChatTab.tsx:181	${rule.invitee_target} invitee milestone								
UI_0174	components/ChatTab.tsx:182	Invitee spends $${Number(rule.minimum_purchase_amount).toFixed(2)}+								
UI_0175	components/ChatTab.tsx:262 | components/ChatTab.tsx:269 | components/ChatTab.tsx:312 | components/ChatTab.tsx:532	direct_messages								
UI_0176	components/ChatTab.tsx:264	and(sender_id.eq.${myUserId},receiver_id.eq.${activeChat.id}),and(sender_id.eq.${activeChat.id},receiver_id.eq.${myUserId})								
UI_0177	components/ChatTab.tsx:265 | components/ChatTab.tsx:628	created_at								
UI_0178	components/ChatTab.tsx:269	read_at								
UI_0179	components/ChatTab.tsx:269	receiver_id								
UI_0180	components/ChatTab.tsx:269	sender_id								
UI_0181	components/ChatTab.tsx:309 | components/ChatTab.tsx:318 | components/ChatTab.tsx:1129	text								
UI_0182	components/ChatTab.tsx:324	Attachments must be 5 MB or smaller.								
UI_0183	components/ChatTab.tsx:328	Upload failed: ${error.message}								
UI_0184	components/ChatTab.tsx:330 | components/ChatTab.tsx:1138	attachment								
UI_0185	components/ChatTab.tsx:344	Matchmaking Halted: You cannot issue challenges with 0 credits.								
UI_0186	components/ChatTab.tsx:354	waiting								
UI_0187	components/ChatTab.tsx:362 | components/ChatTab.tsx:380 | components/ChatTab.tsx:397 | components/ChatTab.tsx:409 | components/ChatTab.tsx:426 | components/ChatTab.tsx:443 | components/ChatTab.tsx:467 | components/ChatTab.tsx:485 | components/ChatTab.tsx:518 | components/ChatTab.tsx:1142	game_invite								
UI_0188	components/ChatTab.tsx:365 | components/ChatTab.tsx:383 | components/ChatTab.tsx:400 | components/ChatTab.tsx:412 | components/ChatTab.tsx:429 | components/ChatTab.tsx:446 | components/ChatTab.tsx:470 | components/ChatTab.tsx:488 | components/ChatTab.tsx:521 | components/ChatTab.tsx:1167	pending								
UI_0189	components/ChatTab.tsx:459	Could not create the challenge room: ${roomError?.message || "Unknown error"}								
UI_0190	components/ChatTab.tsx:459	Unknown error								
UI_0191	components/ChatTab.tsx:508	Could not create the four-player room.								
UI_0192	components/ChatTab.tsx:532 | components/DailyLoginCard.tsx:60	id								
UI_0193	components/ChatTab.tsx:607	Join me on Joe Yoke								
UI_0194	components/ChatTab.tsx:628 | components/ChatTab.tsx:638	chat_group_messages								
UI_0195	components/ChatTab.tsx:628	group_id								
UI_0196	components/ChatTab.tsx:628	id,content,created_at,sender_id,profiles(username)								
UI_0197	components/ChatTab.tsx:670 | components/ChatTab.tsx:741 | components/ChatTab.tsx:793 | components/GamesTab.tsx:157	groups								
UI_0198	components/ChatTab.tsx:675	Group conversation								
UI_0199	components/ChatTab.tsx:696	Member								
UI_0200	components/ChatTab.tsx:704	No messages yet. Say hello to the group.								
UI_0201	components/ChatTab.tsx:716	Message the community…								
UI_0202	components/ChatTab.tsx:717	Group message								
UI_0203	components/ChatTab.tsx:723	Send group message								
UI_0204	components/ChatTab.tsx:726 | components/ChatTab.tsx:1030 | components/ChatTab.tsx:1034	send								
UI_0205	components/ChatTab.tsx:740	Direct								
UI_0206	components/ChatTab.tsx:740 | components/ChatTab.tsx:758	dms								
UI_0207	components/ChatTab.tsx:741	Groups								
UI_0208	components/ChatTab.tsx:742	Invite								
UI_0209	components/ChatTab.tsx:742 | components/ChatTab.tsx:814	network								
UI_0210	components/ChatTab.tsx:760	Syncing conversations…								
UI_0211	components/ChatTab.tsx:764	Connect via the Network tab.								
UI_0212	components/ChatTab.tsx:764	Your inbox is empty.								
UI_0213	components/ChatTab.tsx:782	Online now								
UI_0214	components/ChatTab.tsx:782	Say hi and start a match								
UI_0215	components/ChatTab.tsx:785 | components/ChatTab.tsx:924 | components/ChatTab.tsx:935 | components/ChatTab.tsx:946 | components/ChatTab.tsx:957 | components/ChatTab.tsx:966 | components/ChatTab.tsx:977 | components/ChatTab.tsx:988 | components/ChatTab.tsx:998 | components/HomeTab.tsx:707 | components/ProfileTab.tsx:703 | components/ProfileTab.tsx:732 | components/ProfileTab.tsx:737 | components/ProfileTab.tsx:739 | components/ProfileTab.tsx:815	chevron_right								
UI_0216	components/ChatTab.tsx:795	${groupCreationPolicy.free_creations_remaining} free creation${groupCreationPolicy.free_creations_remaining === 1 ? "" : "s"} remaining								
UI_0217	components/ChatTab.tsx:795	${groupCreationPolicy.paid_cost.toLocaleString()} ${groupCreationPolicy.paid_currency} per group								
UI_0218	components/ChatTab.tsx:795	Create a new group								
UI_0219	components/ChatTab.tsx:795	Free group creation								
UI_0220	components/ChatTab.tsx:796	Create a group								
UI_0221	components/ChatTab.tsx:797	This group costs ${groupCreationPolicy.paid_cost.toLocaleString()} ${groupCreationPolicy.paid_currency}.								
UI_0222	components/ChatTab.tsx:797	This group is free.								
UI_0223	components/ChatTab.tsx:797	This group is free. ${groupCreationPolicy.free_creations_remaining - 1} free creation${groupCreationPolicy.free_creations_remaining === 1 ? "" : "s"} will remain.								
UI_0224	components/ChatTab.tsx:798	Group name								
UI_0225	components/ChatTab.tsx:799	Description (optional)								
UI_0226	components/ChatTab.tsx:800	Create group								
UI_0227	components/ChatTab.tsx:800	Creating…								
UI_0228	components/ChatTab.tsx:806	Community group								
UI_0229	components/ChatTab.tsx:807 | components/GameEngagementMenu.tsx:42 | components/games/Carrom.tsx:1442 | components/games/Checkers.tsx:884 | components/games/ChessGame.tsx:909 | components/games/PoolGame.tsx:1707 | components/games/SnookerGame.tsx:1741 | components/games/TicTacToeGame.tsx:762	Join								
UI_0230	components/ChatTab.tsx:807	Open chat								
UI_0231	components/ChatTab.tsx:810	No groups yet. Start the first one.								
UI_0232	components/ChatTab.tsx:817 | components/ChatTab.tsx:1005	group_add								
UI_0233	components/ChatTab.tsx:818	Invite &amp; Earn!								
UI_0234	components/ChatTab.tsx:819	Share your referral code and earn rewards when friends join.								
UI_0235	components/ChatTab.tsx:821	Loading...								
UI_0236	components/ChatTab.tsx:823 | components/ChatTab.tsx:844 | components/ProfileTab.tsx:654 | components/games/Carrom.tsx:1583 | components/games/Checkers.tsx:984 | components/games/ChessGame.tsx:990 | components/games/PoolGame.tsx:1778 | components/games/SnookerGame.tsx:1814 | components/games/TicTacToeGame.tsx:844	content_copy								
UI_0237	components/ChatTab.tsx:826 | components/ChatTab.tsx:844	Share referral code								
UI_0238	components/ChatTab.tsx:830	Add Friend by ID								
UI_0239	components/ChatTab.tsx:834	Enter User ID...								
UI_0240	components/ChatTab.tsx:839	Add								
UI_0241	components/ChatTab.tsx:843 | components/ChatTab.tsx:1208	Accept								
UI_0242	components/ChatTab.tsx:843	Connection requests								
UI_0243	components/ChatTab.tsx:843 | components/ChatTab.tsx:1176 | components/GlobalInviteListener.tsx:107	Decline								
UI_0244	components/ChatTab.tsx:844	Copy referral code								
UI_0245	components/ChatTab.tsx:844	Copy your code to share it in any app.								
UI_0246	components/ChatTab.tsx:858	Invite dashboard								
UI_0247	components/ChatTab.tsx:861	REFERRAL PERFORMANCE								
UI_0248	components/ChatTab.tsx:862	Your invite summary								
UI_0249	components/ChatTab.tsx:863	Track invitees and see the rewards available in the current program.								
UI_0250	components/ChatTab.tsx:867 | components/games/GlitchDeck.tsx:115	group								
UI_0251	components/ChatTab.tsx:869	Invitees								
UI_0252	components/ChatTab.tsx:874	Points earned								
UI_0253	components/ChatTab.tsx:879	Gems earned								
UI_0254	components/ChatTab.tsx:882	Available benefits								
UI_0255	components/ChatTab.tsx:883	Rewards will appear when the referral program is configured.								
UI_0256	components/ChatTab.tsx:884	Invitee information								
UI_0257	components/ChatTab.tsx:885	· Joined								
UI_0258	components/ChatTab.tsx:885 | components/games/NexusBreach.tsx:131	Active								
UI_0259	components/ChatTab.tsx:885	No invitees yet. Share your code to get started.								
UI_0260	components/ChatTab.tsx:906	game								
UI_0261	components/ChatTab.tsx:909	Select Arena								
UI_0262	components/ChatTab.tsx:914	Two-player challenges								
UI_0263	components/ChatTab.tsx:920 | components/ChatTab.tsx:1090	style								
UI_0264	components/ChatTab.tsx:922	Uno Card Battle								
UI_0265	components/ChatTab.tsx:933 | components/games/TicTacToeGame.tsx:887	Tic-Tac-Toe Matrix								
UI_0266	components/ChatTab.tsx:942 | components/ChatTab.tsx:963 | components/ChatTab.tsx:1098 | components/GameEngagementMenu.tsx:24 | components/games/PoolGame.tsx:1612 | components/games/SnookerGame.tsx:1646	sports_bar								
UI_0267	components/ChatTab.tsx:944	Snooker 3D								
UI_0268	components/ChatTab.tsx:953 | components/ChatTab.tsx:1096	psychology								
UI_0269	components/ChatTab.tsx:955	Grandmaster Chess								
UI_0270	components/ChatTab.tsx:964 | components/GamesTab.tsx:25 | components/games/PoolGame.tsx:265 | components/games/PoolGame.tsx:298 | components/games/PoolGame.tsx:1616	8-Ball Pool								
UI_0271	components/ChatTab.tsx:973 | components/ChatTab.tsx:1094	radio_button_checked								
UI_0272	components/ChatTab.tsx:975 | components/games/Carrom.tsx:1500	Carrom Matrix								
UI_0273	components/ChatTab.tsx:986	Neon Checkers								
UI_0274	components/ChatTab.tsx:996	Challenge one friend								
UI_0275	components/CompetitiveGameLaunch.tsx:117	That room belongs to a different game.								
UI_0276	components/CompetitiveGameLaunch.tsx:140 | components/CompetitiveGameLaunch.tsx:146 | components/games/MiniFighter.tsx:69 | components/games/PingPong.tsx:3192 | components/games/PingPong.tsx:3370 | components/games/ShanKoeMeeGame.tsx:141	Back to arcade								
UI_0277	components/CompetitiveGameLaunch.tsx:141	· 1200 ELO								
UI_0278	components/CompetitiveGameLaunch.tsx:141	Match Confirmed								
UI_0279	components/CompetitiveGameLaunch.tsx:141 | components/games/Carrom.tsx:1477 | components/games/Checkers.tsx:919 | components/games/ChessGame.tsx:946 | components/games/PoolGame.tsx:1743 | components/games/SnookerGame.tsx:1778 | components/games/TicTacToeGame.tsx:798	Opposing Player								
UI_0280	components/CompetitiveGameLaunch.tsx:141	Ranked								
UI_0281	components/CompetitiveGameLaunch.tsx:143 | components/NotificationsCenter.tsx:149 | components/games/PingPong.tsx:3206	Back								
UI_0282	components/CompetitiveGameLaunch.tsx:143	bingo								
UI_0283	components/CompetitiveGameLaunch.tsx:143	Create a private room								
UI_0284	components/CompetitiveGameLaunch.tsx:143	Create room								
UI_0285	components/CompetitiveGameLaunch.tsx:143	dominoes								
UI_0286	components/CompetitiveGameLaunch.tsx:143	Enter room								
UI_0287	components/CompetitiveGameLaunch.tsx:143	ping-pong								
UI_0288	components/CompetitiveGameLaunch.tsx:143 | components/FourPlayerMatchLobby.tsx:143	Share this room code								
UI_0289	components/CompetitiveGameLaunch.tsx:143	Waiting for the other player…								
UI_0290	components/CompetitiveGameLaunch.tsx:29	Sign in to play online.								
UI_0291	components/CompetitiveGameLaunch.tsx:39	This game invitation is no longer available.								
UI_0292	components/CompetitiveGameLaunch.tsx:63	Securing your match…								
UI_0293	components/CompetitiveGameLaunch.tsx:66	Could not start match.								
UI_0294	components/CompetitiveGameLaunch.tsx:66	INSUFFICIENT_POINTS								
UI_0295	components/CompetitiveGameLaunch.tsx:66	Not enough points for this match.								
UI_0296	components/DailyLoginCard.tsx:119	Error claiming reward:								
UI_0297	components/DailyLoginCard.tsx:130 | components/DailyLoginCard.tsx:146	card_giftcard								
UI_0298	components/DailyLoginCard.tsx:150	Daily Login								
UI_0299	components/DailyLoginCard.tsx:154	Claimed today! Check back tomorrow.								
UI_0300	components/DailyLoginCard.tsx:155	+${rewardPoints.toLocaleString()} Points to play!								
UI_0301	components/DailyLoginCard.tsx:165	Claimed								
UI_0302	components/DailyLoginCard.tsx:174	Claim								
UI_0303	components/DailyLoginCard.tsx:174	Claiming...								
UI_0304	components/DailyLoginCard.tsx:58	profiles								
UI_0305	components/DailyLoginCard.tsx:59	last_login_claim, last_daily_claim_at								
UI_0306	components/DailyLoginCard.tsx:72	Error checking daily login status:								
UI_0307	components/FourPlayerMatchLobby.tsx:130	Could not enter the match.								
UI_0308	components/FourPlayerMatchLobby.tsx:139	Create a room code and invite up to 3 friends								
UI_0309	components/FourPlayerMatchLobby.tsx:139	ENTER ROOM CODE								
UI_0310	components/FourPlayerMatchLobby.tsx:139	Exit arena								
UI_0311	components/FourPlayerMatchLobby.tsx:139 | components/GameEngagementMenu.tsx:30 | components/games/Carrom.tsx:1391 | components/games/Checkers.tsx:833 | components/games/ChessGame.tsx:858 | components/games/PoolGame.tsx:1640 | components/games/SnookerGame.tsx:1674 | components/games/TicTacToeGame.tsx:711	Find Online Match								
UI_0312	components/FourPlayerMatchLobby.tsx:139 | components/GameEngagementMenu.tsx:37	Host Play								
UI_0313	components/FourPlayerMatchLobby.tsx:139	JOIN								
UI_0314	components/FourPlayerMatchLobby.tsx:139	Match up to four players worldwide								
UI_0315	components/FourPlayerMatchLobby.tsx:139 | components/GamesTab.tsx:157	Online								
UI_0316	components/FourPlayerMatchLobby.tsx:139 | components/GameEngagementMenu.tsx:36 | components/games/Carrom.tsx:1401 | components/games/Checkers.tsx:843 | components/games/ChessGame.tsx:868 | components/games/PoolGame.tsx:1657 | components/games/SnookerGame.tsx:1691 | components/games/TicTacToeGame.tsx:721	Private								
